,B__Prev,B__Age,B__Height,B__Weight,Last_round,Max_round,R__Prev,R__Age,R__Height,R__Weight,Streak,TIPClinch Time,TIPMisc. Ground Control Time,TIPMount Control Time,TIPDistance Time,TIPGround Control Time,TIPGuard Control Time,TIPGround Time,TIPBack Control Time,TIPSide Control Time,TIPControl Time,StrikesPunchesLanded,StrikesDistance Body PunchesLanded,TIPHalf Guard Control Time,StrikesLeg Total Strikes,StrikesClinch Leg Strikes,StrikesGround Significant Punches,StrikesGround Leg Strikes,GrapplingSubmissions,StrikesLegs Significant Strikes,StrikesHead Significant Strikes,StrikesDistance Body Punches,StrikesDistance Body Kicks,StrikesPunches,StrikesBody Significant Strikes,StrikesHead Total Strikes,StrikesSignificant Strikes,winner,B_HomeTown,B_Location,R_HomeTown,R_Location,B_name,R_name,B_W_Category,R_W_Category
611,1,28.0,182.0,70.0,2,3,2,29.0,177.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.285714285714283,0.0,0.0,0.0,3.8333333333333335,2.063492063492064,3.013888888888889,3,461,60,184,500,Tony Martin,Beneil Dariush,Lightweight,Lightweight
612,2,41.0,182.0,84.0,3,3,1,39.0,180.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6608187134502925,0.0,0.0,0.0,0.0,0.0,3.1235498459723408,0,479,113,502,25,Yoel Romero,Tim Kennedy,Light Heavyweight	,Light Heavyweight
613,0,32.0,175.0,70.0,3,3,2,40.0,175.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,575,444,12,58,Leandro Silva,Francisco Trinaldo,Lightweight,Lightweight
614,1,28.0,180.0,65.0,3,3,1,30.0,172.0,61.0,0.0,6.920101920101921,0.0,0.0,0.0,1.1499292786421498,0.0,0.0,0.0,0.0,0.7977146821123304,1.3125,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74444778814324,0.0,0.0,0.0,2.9776586237712235,0.0,163.49423076923074,0,189,423,513,397,Andre Fili,Felipe Arantes,Featherweight,Bantamweight
615,0,28.0,193.0,77.0,1,3,2,26.0,180.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,416,253,360,155,Matt Dwyer,Albert Tumenov,Welterweight,Welterweight
616,1,35.0,172.0,70.0,2,3,2,34.0,180.0,70.0,0.0,4.216216216216216,0.0,0.0,18.782407407407412,0.0,0.0,0.0,0.0,0.0,0.08264462809917356,0.625,0.5,0.0,0.0,0.0,3.3647324792765643,0.0,0.0,0.0,0.0,0.0,0.0,0.552675054009404,10.04121212121212,0.0,43.28299319727891,3,228,55,408,323,Abel Trujillo,Tony Ferguson,Lightweight,Lightweight
617,2,40.0,172.0,70.0,3,3,0,35.0,177.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,5,120,14,Isaac Vallie-Flagg,Matt Wiman,Lightweight,Lightweight
618,2,37.0,177.0,70.0,1,3,1,32.0,175.0,70.0,0.0,1.2191780821917808,3.6,0.07272727272727272,2.7912397026321076,1.2027027027027026,0.0,4.171428571428572,0.0,0.2775330396475771,1.23,1.9090909090909087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05208333333333,0.0,0.0,0.0,15.949367088607595,0.0,2.216666666666667,3,249,553,513,397,Charlie Brenneman,Leandro Silva,Lightweight,Lightweight
619,2,40.0,190.0,120.0,1,3,1,39.0,187.0,109.0,0.0,8.428571428571429,0.0,0.0,39.285714285714285,1.7142857142857142,0.0,0.0,0.0,0.0,0.11643835616438356,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.33333333333333,0.0,0.0,0.11607142857142858,0.0,0.0,15.336134453781511,0,70,238,468,497,Matt Mitrione,Gabriel Gonzaga,Heavyweight,Heavyweight
620,0,29.0,190.0,93.0,1,3,1,39.0,185.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,609,131,246,365,Jake Collier,Vitor Miranda,,Light Heavyweight
621,2,31.0,177.0,77.0,3,3,2,31.0,185.0,77.0,0.0,0.0,0.0,0.1197471934942102,0.0,0.0,0.0,0.0,0.5932203389830508,0.0,1.0043248068458153,0.9265605875152998,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.30291891303165,0.0,0.0,0.0,5.550916527003848,0.0,9.4195775792039,3,71,140,133,145,Sean Spencer,Cathal Pendred,Welterweight,Welterweight
622,0,41.0,162.0,61.0,2,3,1,30.0,170.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,294,506,595,398,Norifumi Yamamoto,Roman Salazar,Bantamweight,Bantamweight
623,0,28.0,177.0,70.0,2,3,1,30.0,177.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18,61,176,264,Cody Pfister,James Moontasri,Lightweight,Welterweight
